	0	1	2	3	4	5	6	7	8	9	10	11
201256										None		
201257										fʁãsimãdɛʒə,None		
202714										None,fʁuʃɛlə		
203006										fʁɛtə,None		
203769										fɛs,fɛsə,None		
203835										fedɛʁə,None		
205032										galɛʒə,None		
205049										galɛʁə,None		
205305										gãgʁɛnə,None		
207069										ʒənɛtə,None		
209217										glɛnə,None		
210753										None,gutələ		
210880										govɛʁə,None		
211838										gʁapɛl,gʁapɛlə,None		
212358										gʁənɛlə,gʁənɛl,None		
213486										gʁɛgə,None		
213529										gʁɛzə,None		
213579										gʁɛj,gʁɛjə,None		
214187										gijmɛtə,None		
214705										gɛdə,None		
214733										gɛnə,None		
215447										ʒenɛʁə,None		
215752										ʒɛʁə,None		
216479										aloʒɛnə,None		
217286										aʁpɛʒ,aʁpɛʒə,None		
222180										idʁoʒɛnə,None		
222841										ipɛʁpʁɔtɛʒə,ipɛʁpʁɔtɛʒ,None		
223300										ipɔtɛkə,None		
223571										ebɛtə,None		
223643										ɛlə,None		
226444										ɛ̃pʁɛɲə,None		
226587										ɛ̃pɛtʁə,None		
226885										ɛ̃kamɛʁə,None		
226905										ɛ̃kaʁsɛʁə,None		
227007										ɛ̃sinɛʁə,None		
227435										ɛ̃sɛʁə,None		
227552										ɛ̃difɛʁə,None		
227605										ɛ̃diʒɛʁə,None		
228410										ɛ̃foʒɛʁə,None		
228584										ɛ̃fɛʁə,None		
228721										ɛ̃ʒɛʁə,None		
228784										None		
229097										ɛ̃kjɛtə,None		
229571										ɛ̃sɛʁə,None		
229798										ɛ̃tɛʁsɛdə,None		
229851										ɛ̃tɛʁfɛʁə,None		
230080										ɛ̃tɛʁpʁɛtə,None		
230087										ɛ̃tɛʁpenɛtʁə,None		
230566										ɛ̃tɛgʁə,None		
230818										ɛ̃vetɛʁə,None		
232144										itinɛʁə,None		
232182										itɛʁə,None		
232408										ʒaʃɛʁə,None		
233729	dʒɔʒ,None			dʒɔʒ,None								
235673										kaʁaɔkɛtə,None		
236353										kilomɛtʁə,None		
237986										lasɛʁə,None		
242512										libɛʁə,None		
243844										lizɛʁə,None		
244249										ljɛʒ,ljɛʒə,None		
247805										lɛʃə,None		
247907										leʒifɛʁə,None		
247952										lɛgə,None		
248236										lɛzə,None		
248954										masɛʁə,None		
251665										manjɛʁə,None		
252008										manɛʒə,manɛʒ,None		
253239										maʁkɛtə,None		
254688										mastɛgə,None		
258065										mikʁodisɛkə,None		
258178										mikʁoɔpɛʁə,None		
258761										milimɛtʁə,None		
259833										mizɛʁə,None		
260328										mɔdɛʁə,None		
264538										mɔʁiʒɛnə,None		
266054										None		
268087										mɛʃə,None		
268613										mɛʒə,mɛʒ,None		
269007										memɛʁə,None		
269526										mezɛ̃tɛʁpʁɛtə,None		
270113										mɛtʁə,None		
271996										nɛʁfɛʁə,None		
277050										ɔblitɛʁə,None		
277174										ɔbsɛdə,None		
277184										ɔbtãpɛʁə,None		
277254										ɔbɛʁə,None		
279622										ɔpjɛʁə,None		
280509										ɔʁnjɛʁə,None		
282360										ɔksiʒɛnə,None		
283242										palɛtə,None		
284646										papjɛtə,None		
285040										paʁamɛtʁə,None		
285455										paʁãtɛzə,None		
285891										paʁpəlɛʒ,paʁpəlɛʒə,None		
286517										pasɛʒə,pasɛʒ,None		
288702										pɛʁpɛtʁə,None		
289000										pɛʁsevɛʁə,None		
289178										pɛsɛlə,None		
289208										pɛstifɛʁə,None		
290539										fɔtɔmɛtʁə,None		
290786										filɔksɛʁə,None		
293090										pjɛs,pjɛsə,None		
293106										pjɛʒ,pjɛʒə,None		
293134										pjɛtə,None		
293588										planimɛtʁə,None		
294845	plœʒ,None			plœʒ,None								
297273										pɔ̃dɛʁə,None		
298560										pɔsɛdə,None		
299464										puʁlɛʃə,None		
299642										putunɛʒə,None		
300521										pʁimoaksɛdə,None		
301022										pʁɔsɛdə,None		
301189										pʁɔfɛʁə,None		
301313										pʁɔlifɛʁə,None		
301404										None		
301693	pʁɔskʁiv,None			pʁɔskʁiv,None		pʁɔskʁiv,pʁɔskʁiv,None						
301762										pʁɔspɛʁə,None		
302070										pʁɔtybɛʁə,None		
302093										pʁɔtɛʒ,pʁɔtɛʒə,None		
302995										pʁesɛdə,None		
303058										pʁediʒɛʁə,None		
303090										pʁedesɛdə,None		
303219										pʁefɛʁə,None		
303321										pʁɛlə,None		
303345										pʁelɛgə,None		
303479										pʁeɔksiʒɛnə,None		
303520										pʁepɔ̃dɛʁə,None		
303615										pʁeʁɛglə,None		
303766										pʁesɛʃə,None		
305700										piʁoʒɛnə,None		
306041										pɛʃə,None		
306291										pɛgə,None		
306500										penɛtʁə,None		
306772										peʁimɛtʁə,None		
307173										pɛtə,None		
309016										kɔlibɛtə,None		
309425										ʁaʃəvə,None		
309865										ʁadjoʁəpɛʁə,None		
310394										ʁalɛʒə,None,ʁallɛʒə,ʁalɛʒ,ʁallɛʒ		
310399										None		
311038										ʁapjɛsə,ʁapjɛs,None		
311105										ʁapɥijə,None		
311233										ʁasənə,None		
311244										ʁasjɛʒə,ʁasjɛʒ,None		
311267										ʁasɛnə,None		
311272										ʁaseʁɛnə,None		
311344	ʁatənis,None			ʁatənis,None		ʁatənis,ʁatənis,None						
311773	ʁəliz,None			ʁəliz,None		ʁəliz,ʁəliz,None				ʁəli,None		
311781	ʁəpəz,None			ʁəpəz,None		ʁəpəz,ʁəpəz,None				ʁəpɛzə,None		
311790										ʁəʁepɛtə,None		
312036										ʁəblasfɛmə,None		
312038										ʁəblatɛʁə,None		
312095										ʁəbɔnətə,None		
312111										ʁəbɔslɛlə,ʁəbɔslɛl,None		
312118										ʁəbɔtələ,None		
312242										ʁəbʁiklɛtə,ʁəbʁiklɛt,None		
312291										ʁəbydʒɛtə,None		
312334										ʁəbɛkə,None		
312475										ʁəkaʁɛnə,None		
312559	ʁəʃalãʒ,None			ʁəʃalãʒ,None								
312667										ʁəʃwa,None		
312689										ʁəkʁɔnɔmɛtʁə,None		
312862										ʁəkɔlɛʁə,None		
312924										ʁəkɔ̃plɛtə,None		
312944										ʁəkɔ̃katɛnə,None		
312956										ʁəkɔ̃kɛtə,None		
