	0	1	2	3	4	5	6	7	8	9	10	11
112577										otopjɛʒə,otopjɛʒ		
112621										otopʁɔtɛʒ,otopʁɔtɛʒə		
112670	otoʁənuvəl,otoʁənuvl			otoʁənuvəl,otoʁənuvl		otoʁənuvəl,otoʁənuvl		otoʁənuvəl,otoʁənuvl		otoʁənuvɛlə,otoʁənuvlɛl,otoʁənuvlɛlə,otoʁənuvɛl	otoʁənuvla,otoʁənuvəla	otoʁənuvəle,otoʁənuvle
112867										otoveʁuj,otoveʁujə		
113679										avitaj,avitajə		
113729						ɛj,av			avwa,ijavwa			
113892										awɛj,awɛjə		
113899										awɛj,awɛjə		
114608	babəl,babl			babəl,babl		babəl,babl		babəl,babl		bablɛlə,babɛl,bablɛl,babɛlə	babla,babəla	babəle,bable
114637										babijə,babij		
115120										bafujə,bafuj		
115461										baj,bajə		
115567										bɛzajə,bɛzaj		
115582		,bɛzɔt	,bɛzɔt		,bɛzɔt	bɛzɔt,bɛzɔt	,bɛzɔt	bɛzɔt,bɛzɔtj			,bɛzɔta	,bɛzɔte
115583										bezuj,bezujə		
115824		balɛ,balɛj	balɛ,balɛj		balɛ,balɛj		balɛ,balɛj			balejə,balej,bale		
116508										bãdʁij,bãdʁijə		
116549										bãduj,bãdujə		
116756	bãkət,bãkt			bãkət,bãkt		bãkət,bãkt		bãkət,bãkt		bãklɛt,bãkɛtə,bãklɛtə,bãkɛt	bãkta,bãkəta	bãkəte,bãkte
116880	bakət,bakt			bakət,bakt		bakət,bakt		bakət,bakt		bakɛtə,baklɛt,bakɛt,baklɛtə	bakta,bakəta	bakəte,bakte
117137		baʁbɛj,baʁbɛ	baʁbɛj,baʁbɛ		baʁbɛj,baʁbɛ		baʁbɛj,baʁbɛ			baʁbe,baʁbejə,baʁbej		
117228										baʁbuj,baʁbujə		
117270										baʁbɛj,baʁbɛjə		
117396										baʁej,baʁejə		
118700										batajə,bataj		
118764	batəl,batl			batəl,batl		batəl,batl		batəl,batl		batlɛl,batlɛlə,batɛl,batɛlə	batla,batəla	batle,batəle
118894	batəl,batl			batəl,batl		batəl,batl		batəl,batl		batlɛl,batlɛlə,batɛl,batɛlə	batla,batəla	batle,batəle
119266										bavuj,bavujə		
119317	baj,bej	bɛ,baj,bɛj	bɛ,baj,bɛj	baj,bej	bɛ,baj,bɛj	baj,bej	bɛ,baj,bɛj	baj,bej		bej,be,bɛ,bejə,bajə,baj	beja,baja	baje,beje
120093										bəbʁuj,bəbʁujə		
120173	bɛkt,bɛkət	,bɛkɛt	,bɛkɛt	bɛkt,bɛkət	,bɛkɛt	bɛkt,bɛkət	,bɛkɛt	bɛkt,bɛkət		bɛkɛtə,bɛkɛt,bɛklɛtə,bɛklɛt	bɛkəta,bɛkta	bɛkte,bɛkəte
120730	bɛlliʒeʁ,bɛliʒeʁ	bɛlliʒɛʁ,bɛliʒɛʁ	bɛlliʒɛʁ,bɛliʒɛʁ	bɛlliʒeʁ,bɛliʒeʁ	bɛlliʒɛʁ,bɛliʒɛʁ	bɛlliʒeʁ,bɛliʒeʁ	bɛlliʒɛʁ,bɛliʒɛʁ	bɛlliʒeʁ,bɛliʒeʁ		bɛliʒɛʁə,bɛlliʒɛʁə	bɛlliʒeʁa,bɛliʒeʁa	bɛliʒeʁe,bɛlliʒeʁe
123135										biduj,bidujə		
