	lid	cstr	phon_affix
339	l348609	superXaire	sy.pɛʁ.ak.si.lɛʁ
340	l348941	supraXaire	sy.pʁa.lap.sɛʁ
341	l361026	transXaire	tʁãs.pɔ.lɛʁ
342	l361927	triXaire	tʁi.kap.sy.lɛʁ
343	l361989	trichoXaire	tʁi.ki.be.zɔ.ɛʁ
344	l90633	Xéisme	ap.sã.te.ism
345	l92281	Xalisme	ak.sjɔ.na.lism
346	l92306	Xivisme	ak.tiv.ism
347	l104680	aXisme	a.pʁag.ma.tism
348	l100235	Xicisme	ã.gli.sism
349	l338712	septXisme	sɛp.tɛ.na.lism
350	l99135	anaXisme	a.na.ba.tism
351	l192068	euXisme	ø.de.mɔ.nism
352	l96682	alloXisme	a.lɔ.sãt.ʁism
353	l191921	ethoXisme	ɛt.nɔ.sã.tʁism
354	l383826	égoXisme	e.go.sã.tʁism
355	l244709	logoXisme	lɔ.gɔ.sã.tʁism
356	l215538	géoXisme	ʒe.o.sã.tʁism
357	l223719	hélioXisme	e.ljɔ.sã.tʁism
358	l296442	polyXisme	pɔ.li.sã.tʁism
359	l124003	bioXisme	bjɔ.sã.tʁism
360	l122923	biXalisme	bi.ka.me.ʁa.lism
361	l122925	biXisme	bi.ka.me.ʁism
362	l261669	monoXalisme	mɔ.no.ka.me.ʁa.lism
363	l261672	monoXisme	mɔ.no.ka.me.ʁism
364	l366854	uniXalisme	y.ni.ka.me.ʁa.lism
365	l366855	uniXisme	y.ni.ka.me.ʁism
366	l157225	Xialisme	kɔ.lɔ.nja.lism
367	l173973	diXisme	di.kʁɔ.ism
368	l256675	Xilisme	mɛʁ.kã.ti.lism
369	l157924	Xarisme	kɔ.my.no.ta.ʁism
370	l158065	Xatisme	kɔ̃.pa.ʁa.tism
371	l158645	Xualisme	kɔ̃.sɛp.tɥa.lism
372	l159953	Xateur	kɔ̃.sɔ.ma.tœʁ
373	l160157	Xérisme	kɔ̃.sy.me.ʁism
374	l168739	Xivé	kyl.ti.ve
375	l296491	polyXalisme	pɔ.li.kyl.ty.ʁa.lism
376	l284079	panenXisme	pa.nã.te.ism
377	l362771	triXisme	tʁi.te.ism
378	l222402	hydroXisme	i.dʁɔ.tʁɔ.pism
379	l175200	Xianisme	dis.kɔʁ.dja.nism
380	l284179	panXisme	pã.ʒy.ʁism
381	l276359	néoXisme	ne.o.gʁa.fism
382	l384190	Xoralisme	e.lɛk.tɔ.ʁa.lism
383	l103182	antiXisme	ã.ti.spe.sism
384	l222495	hyléXisme	i.le.mɔʁ.fism
385	l187826	endoXisme	ã.do.mɔʁ.fism
386	l269850	métaXisme	me.ta.mɔʁ.fism
387	l222486	hyloXisme	i.lo.mɔʁ.fism
388	l143837	cataXisme	ka.ta.glɔ.tism
389	l94255	aXatisme	a.gʁa.ma.tism
390	l254333	Xinisme	mas.ky.li.nism
391	l231783	Xationnisme	i.zɔ.la.sjɔ.nism
392	l360921	transXisme	tʁãs.lɛ̃.gɥizm
393	l348958	supraXisme	sy.pʁa.na.ty.ʁa.lism
394	l349628	surXisme	syʁ.na.ty.ʁa.lism
395	l259732	misoXisme	mi.zɔ.ne.ism
396	l277117	Xantiste	ɔp.sky.ʁã.tism
397	l179221	dysXisme	dis.fe.mism
398	l266691	multiXisme	myl.ti.paʁ.tism
399	l286069	Xularisme	paʁ.ti.ky.la.ʁism
400	l104196	apoXatisme	a.pɔf.lɛg.ma.tism
401	l247204	Xanisme	ly.zi.ta.nism
402	l349755	surXéisme	syʁ.pʁe.zã.te.ism
403	l309021	Xude	kje.tyd
404	l285014	paraXisme	pa.ʁa.lɔ.ʒism
405	l319825	Xacisme	ʁɔ.ta.sism
406	l112779	autoXisme	o.tɔ.sɔ.lism
407	l160860	contreXisme	kɔ̃.tʁə.sti.my.lism
408	l386599	équiXisme	fʁ|e.kɥi.si.la.bism
409	l386117	épiXisme	e.pi.sɛ̃.te.tism
410	l300968	proXisme	pʁɔ.kʁɔ.nism
411	l220408	homoXisme	ɔ.mɔ.ta.lism
412	l224591	hétéroXisme	e.te.ʁɔ.ta.lism
413	l367002	Xarianisme	y.ni.ta.ʁja.nism
414	l92307	Xiviste	ak.tiv.ist
415	l100238	Xiciste	ã.gli.sist
416	l96683	alloXiste	a.lɔ.sã.tʁist
417	l383827	égoXiste	e.gɔ.sã.tʁist
418	l215539	géoXiste	ʒe.ɔ.sã.tʁist
419	l141403	carboXiste	kaʁ.bɔ.sã.tʁist
420	l191922	ehtnoXiste	ɛt.nɔ.sã.tʁist
421	l192272	euroXiste	ø.ʁɔ.sã.tʁist
422	l103468	antéXiste	ã.te.kla.vist
423	l158647	Xualiste	kɔ̃.sɛp.tɥa.list
424	l306843	périoXiste	pe.ʁjɔ.dɔ̃.tist
425	l109280	aXiste	a.te.ist
426	l262068	monoXiste	mɔ.nɔ.te.ist
427	l284063	panXiste	pã.de.ist
428	l362772	triXiste	tʁi.te.ist
429	l165406	coXiste	kɔ.e.ʃã.ʒist
430	l219809	hiéroXiste	je.ʁɔ.gʁa.ma.tist
431	l203943	Xiniste	fe.mi.nist
432	l231784	Xionniste	i.zɔ.la.sjɔ.nist
433	l275455	nulliXiste	ny.li.ʒã.bist
434	l123568	biXiste	bi.ʒã.bist
435	l243645	Xatiste	li.pɔ.gʁa.ma.tist
436	l257303	Xianiste	mɛ.sja.nist
437	l97337	alterXialiste	al.tɛʁ.mɔ̃.dja.list
438	l259733	misoXiste	mi.zɔ.ne.ist
439	l280080	Xaniste	ɔʁ.ga.nist
440	l112780	autoXiste	o.tɔ.sɔ.list
441	l340770	Xgravure	si.mi.li.gʁa.vyʁ
442	l160861	contreXiste	kɔ̃.tʁə.sti.my.list
443	l103469	antéX	ã.te.kla.vist
444	l97337	alterX	al.tɛʁ.mɔ̃.dja.list
445	l191922	ehtnoX	ɛt.nɔ.sã.tʁist
446	l192272	euroX	ø.ʁɔ.sã.tʁist
447	l123066	biXette	bi.si.klɛt
448	l196682	Xnomiste	fi.by.la.nɔ.mist
449	l375986	Xarianiste	vɔ.lɔ̃.ta.ʁja.nist
450	l97536	Xilite	a.ly.mi.ni.lit
451	l100154	Xome	ã.ʒjɔm
452	l161799	Xille	kɔ.kij
453	l362045	triXite	tʁi.kʁɔ.it
454	l124570	bisX	bis.kɥi
455	l101142	aXite	a.nɔʁ.tɔ.it
456	l239796	lapis-X	la.pis.la.zy.li
457	l251020	Xelle	ma.mɛl
458	l296175	polyXite	pɔ.ljo.mje.lit
459	l187837	endoX	ã.dɔ.ne.fʁit
460	l306918	périXite	pe.ʁi.sple.nit
461	l223290	hypoX	i.pɔ.zyl.fit
462	l306969	périX	pɛ.ʁi.ti.flit
463	l380396	Xosite	zɛ̃.kɔ.zit
464	l258332	microX	mi.kʁɔ.zɔ.o.nit
465	l90695	Xivité	ab.sɔʁp.ti.vi.te
466	l91095	Xalité	ak.si.dã.ta.li.te
467	l92749	Xosité	a.di.po.zi.te
468	l96293	Xarité	a.li.mã.ta.ʁi.te
469	l109392	Xicité	a.tɔ.mi.si.te
470	l157028	Xialité	kɔ.le.ʒja.li.te
471	l160440	Xilité	kɔ̃.tʁak.ti.li.te
472	l175804	Xinité	di.vi.ni.te
473	l207489	Xualité	ʒɛs.tɥa.li.te
474	l295133	Xiosité	ply.vjɔ.zi.te
475	l367248	Xanité	yʁ.ba.ni.te
476	l97429	Xitude	al.ti.tyd
477	l323847	Xauté	ʁwa.jo.te
478	l179358	dé1Xiser	de.ba.na.li.zɛ
479	l180408	dé1Xifier	de.kla.si.fjɛ
480	l182117	dé1Xaliser	de.lɔ.ka.li.zɛ
481	l182571	dé1Xiner	de.my.si.la.ʒi.nɛ
482	l303992	préXière	pʁe.e.po.ljɛʁ
483	l344165	sousXier	su.kla.vje
484	l295043	pluriXisme	ply.ʁi.paʁ.tism
485	l237794	Xilien	la.sɛʁ.ti.ljɛ̃
486	l248749	Xonnière	ma.klɔ.njɛʁ
487	l202621	Xalier	fʁɔ̃.ta.lje
488	l129375	Xachier	bu.ʁa.ʃe
489	l113233	avantX	a.vɑ̃.dɛʁ.nje
