Phoneme	Affix	rid
anɛksjɔ̃	jɔ	r9368
anɛksjɔ̃	jɔ	r9368
anɛksjɔ̃	jɔ	r9370
anɛksjɔ̃	jɔ	r9370
anɔ̃sjasjɔ̃	jɔ	r9402
anɔ̃sjasjɔ̃	jɔ	r9402
anɔ̃sjasjɔ̃	jɔ	r9404
anɔ̃sjasjɔ̃	jɔ	r9404
ausjɛ̃	jɛ	r179544
ausjɛ̃	jɛ	r179544
apelasjɔ̃	jɔ	r9694
apɛllasjɔ̃	jɔ	r9694
apelasjɔ̃	jɔ	r9694
apɛllasjɔ̃	jɔ	r9694
apelasjɔ̃	jɔ	r9696
apɛllasjɔ̃	jɔ	r9696
apelasjɔ̃	jɔ	r9696
apɛllasjɔ̃	jɔ	r9696
apelasjɔ̃	jɔ	r9693
apɛllasjɔ̃	jɔ	r9693
apelasjɔ̃	jɔ	r9693
apɛllasjɔ̃	jɔ	r9693
aplikasjɔ̃	jɔ	r9740
aplikasjɔ̃	jɔ	r9740
aplikasjɔ̃	jɔ	r9742
aplikasjɔ̃	jɔ	r9742
aplikasjɔ̃	jɔ	r9744
aplikasjɔ̃	jɔ	r9744
aplikasjɔ̃	jɔ	r9731
aplikasjɔ̃	jɔ	r9731
pɔ̃ktɥasjɔ̃	jɔ	r55728
pɔ̃ktɥasjɔ̃	jɔ	r55728
pɔ̃ktɥasjɔ̃	jɔ	r55730
pɔ̃ktɥasjɔ̃	jɔ	r55730
pɔ̃ktɥasjɔ̃	jɔ	r55732
pɔ̃ktɥasjɔ̃	jɔ	r55732
pɔʁtylã	ɑ	r217104
pɔʁtylã	ɑ	r217104
ɛ̃pɔʁtabl	i	r103976
ɛ̃pɔʁtabl	i	r103976
ɛ̃pɔʁtabl	i	r114498
ɛ̃pɔʁtabl	i	r114498
tʁãspɔʁtasjɔ̃	jɔ	r71926
tʁãspɔʁtasjɔ̃	jɔ	r71926
tʁãspɔʁtasjɔ̃	jɔ	r71928
tʁãspɔʁtasjɔ̃	jɔ	r71928
tʁãspɔʁtasjɔ̃	jɔ	r71930
tʁãspɔʁtasjɔ̃	jɔ	r71930
tʁɑ̃spɔʁtøz	œʁ	r87240
tʁɑ̃spɔʁtøz	œʁ	r87240
pɔʁsjɔ̃	jɔ	r55846
pɔʁsjɔ̃	jɔ	r55846
pɔʁtøz	œʁ	r87114
pɔʁtøz	œʁ	r87114
ɛ̃pɔʁtasjɔ̃	jɔ	r44488
ɛ̃pɔʁtasjɔ̃	jɔ	r44490
ɛ̃pɔʁtasjɔ̃	jɔ	r44492
ɛ̃pɔʁtasjɔ̃	jɔ	r117480
ɛ̃pɔʁtatʁis	œʁ	r87452
ɛ̃pɔʁtatʁis	œʁ	r87452
tʁãspɔʁtasjɔ̃	jɔ	r71924
tʁãspɔʁtasjɔ̃	jɔ	r71924
ʁapɔʁtøz	œʁ	r87018
ʁapɔʁtøz	œʁ	r87018
pɔʁto	al	r82968
ɛ̃pɔʁtasjɔ̃	jɔ	r44478
ɛ̃pɔʁtasjɔ̃	jɔ	r44473
pʁɛstasjɔ̃	jɔ	r221780
pʁɛstasjɔ̃	jɔ	r221780
pʁɛstasjɔ̃	jɔ	r221782
pʁɛstasjɔ̃	jɔ	r221782
pʁɛstasjɔ̃	jɔ	r219682
pʁɛstasjɔ̃	jɔ	r219682
pʁɛstasjɔ̃	jɔ	r56800
pʁɛstasjɔ̃	jɔ	r56800
pʁɛstasjɔ̃	jɔ	r56802
pʁɛstasjɔ̃	jɔ	r56802
pʁɔʃɛ̃	ɛ	r84670
pʁɔʃɛn	ɛ	r84670
pʁɔʃɛn	ɛ	r84670
pʁɔʃɛ̃	ɛ	r84670
pʁɔʃɛ̃	ɛ	r133222
pʁɔʃɛn	ɛ	r133222
pʁɔʃɛn	ɛ	r133222
pʁɔʃɛ̃	ɛ	r133222
pʁɔʃɛ̃	ɛ	r133224
pʁɔʃɛn	ɛ	r133224
pʁɔʃɛn	ɛ	r133224
pʁɔʃɛ̃	ɛ	r133224
aʁbitʁasjɔ̃	jɔ	r9992
aʁbitʁasjɔ̃	jɔ	r9992
aʁbitʁasjɔ̃	jɔ	r9994
aʁbitʁasjɔ̃	jɔ	r9994
aʁbitʁasjɔ̃	jɔ	r9996
aʁbitʁasjɔ̃	jɔ	r9996
aʁbitʁo	al	r82954
aʁbitʁo	al	r82672
aʁbɔʁizasjɔ̃	jɔ	r10000
aʁbɔʁizasjɔ̃	jɔ	r10000
aʁbɔʁizasjɔ̃	jɔ	r10002
aʁbɔʁizasjɔ̃	jɔ	r10002
ɛʁbø	øz	r88180
ɛʁbø	øz	r88180
aʁʃitɛktyʁo	yʁal	r82844
aʁʃitɛktyʁo	al	r82962
aʁdwazjɛʁ	ije	r181818
aʁdwazjɛʁ	ije	r181818
aʁʒãtasjɔ̃	jɔ	r10072
aʁʒãtasjɔ̃	jɔ	r10074
aʁʒãtasjɔ̃	jɔ	r10076
ɛ̃pekynjøz	i	r114566
ɛ̃pekynjøz	i	r114566
ɛ̃pekynjø	i	r114566
ɛ̃pekynjø	i	r114566
